POINT,ミーゼス応力,最大主応力(σ1),中間主応力(σ2),最小主応力(σ3),トレスカ応力,最大主歪み
1967,3.79E+00,-2.48E+00,0.00E+00,-4.30E+00,4.30E+00,-7.27E-06
1968,3.74E+00,-2.53E+00,0.00E+00,-4.22E+00,4.22E+00,-1.08E-05
1969,2.04E+00,2.33E+00,0.00E+00,1.36E+00,2.33E+00,2.97E-05
1970,1.17E+00,1.31E+00,0.00E+00,9.30E-01,1.31E+00,1.01E-05
1971,4.39E-01,4.08E-01,0.00E+00,2.04E-01,4.93E-01,4.07E-06
1972,3.51E-01,-2.34E-01,0.00E+00,-3.75E-01,3.81E-01,4.23E-09
1973,1.09E+00,-8.58E-01,0.00E+00,-1.22E+00,1.22E+00,-5.77E-06
1974,2.35E+00,-1.44E+00,0.00E+00,-2.70E+00,2.70E+00,-7.76E-06
1975,1.91E+00,1.58E+00,0.00E+00,-5.29E-01,2.11E+00,2.07E-05
1976,2.08E+00,1.40E+00,0.00E+00,-9.36E-01,2.34E+00,2.34E-05
1977,2.53E+00,1.34E+00,0.00E+00,-1.55E+00,2.89E+00,2.53E-05
1978,2.22E+00,1.09E+00,0.00E+00,-1.42E+00,2.51E+00,2.01E-05
1979,1.64E+00,1.02E+00,0.00E+00,-7.55E-01,1.83E+00,1.58E-05
1980,1.85E+00,1.73E+00,0.00E+00,6.29E-02,1.97E+00,2.83E-05
1981,2.92E+00,3.07E+00,0.00E+00,3.40E-01,3.07E+00,4.75E-05
1982,3.29E+00,3.49E+00,0.00E+00,4.80E-01,3.49E+00,5.55E-05
1983,3.21E+00,3.47E+00,0.00E+00,6.78E-01,3.47E+00,5.58E-05
1984,2.76E+00,2.91E+00,0.00E+00,3.25E-01,2.91E+00,4.59E-05
1985,1.79E+00,1.91E+00,0.00E+00,3.48E-01,1.91E+00,2.90E-05
1986,1.54E+00,1.42E+00,0.00E+00,9.49E-02,1.72E+00,1.29E-05
1987,2.19E+00,2.02E+00,0.00E+00,1.25E-01,2.51E+00,2.47E-05
1988,2.32E+00,2.29E+00,0.00E+00,3.88E-01,2.66E+00,3.00E-05
1989,2.23E+00,1.97E+00,0.00E+00,-2.44E-01,2.53E+00,2.90E-05
1990,1.75E+00,1.26E+00,0.00E+00,-5.64E-01,1.98E+00,1.99E-05
1991,3.12E+00,3.17E+00,0.00E+00,1.44E-01,3.29E+00,4.97E-05
